#x,y,z,v
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.65324100,   3.25785900,   0.79749000,   3.91110000,   3.91110000,   3.91110000
  0.78376719,   3.25785900,   0.78893486,   4.04162619,   4.04162619,   4.04162619
  0.78265052,   3.27489609,   0.78893486,   4.05754661,   4.05754661,   4.05754661
  0.77931962,   3.29164166,   0.78893486,   4.07096128,   4.07096128,   4.07096128
  0.77383148,   3.30780921,   0.78893486,   4.08164069,   4.08164069,   4.08164069
  0.76628000,   3.32312210,   0.78893486,   4.08940209,   4.08940209,   4.08940209
  0.75679439,   3.33731831,   0.78893486,   4.09411270,   4.09411270,   4.09411270
  0.74553696,   3.35015496,   0.78893486,   4.09569191,   4.09569191,   4.09569191
  0.73270031,   3.36141239,   0.78893486,   4.09411270,   4.09411270,   4.09411270
  0.71850410,   3.37089800,   0.78893486,   4.08940209,   4.08940209,   4.08940209
  0.70319121,   3.37844948,   0.78893486,   4.08164069,   4.08164069,   4.08164069
  0.68702366,   3.38393762,   0.78893486,   4.07096128,   4.07096128,   4.07096128
  0.67027809,   3.38726852,   0.78893486,   4.05754661,   4.05754661,   4.05754661
  0.65324100,   3.38838519,   0.78893486,   4.04162619,   4.04162619,   4.04162619
  0.63620391,   3.38726852,   0.78893486,   4.02347244,   4.02347244,   4.02347244
  0.61945834,   3.38393762,   0.78893486,   4.00339596,   4.00339596,   4.00339596
  0.60329079,   3.37844948,   0.78893486,   3.98174027,   3.98174027,   3.98174027
  0.58797790,   3.37089800,   0.78893486,   3.95887590,   3.95887590,   3.95887590
  0.57378169,   3.36141239,   0.78893486,   3.93519408,   3.93519408,   3.93519408
